irrelevant,misattributed FACETS,coarse FACETS item,granular FACETS item,not in FACETS,Subcategory,Max FACETS similarity,Source,Max non-FACETS similarity,Max FACETS similarity value,Max non-FACETS similarity value,Category,Brief Description,Description
,,,,1,Independent Work,Perseverance,GPT 5.2 Thinking,Independence,0.341,0.759,Independence and Responsibility,working on tasks with appropriate independence and help use,"Independent work reflects how well a student can stay on task and complete work without constant adult support. It includes using resources (notes, examples, checklists) and seeking help when truly needed. Difficulty may show as over-reliance on adults, frequent stopping when unsure, or avoiding work unless someone sits with them."
,,,,,Trauma History,Memory/Recall,FACETS,resilience,0.34,0.376,General Well-Being,having directly or indirectly experienced traumatic events,"In the course of typical, daily life, there are events of varying intensity that cause emotional or physical pain or disturbance (e.g., injury or death of a loved one). While upsetting and possibly causing “trauma-related symptoms,” they are not likely to lead to a trauma diagnosis. These symptoms generally resolve quickly and without long-term impact. On occasion, depending on the individual and the nature of the events, symptoms may persist. And, even more rarely, Post Traumatic Stress Disorder (PTSD), may appear. Severe traumatic reactions are generally associated with events in which the individual’s health safety and/or life are in immediate jeopardy. Individuals are more likely to be affected the closer they are in time and space to traumatic events."
,,,1,,barriers,Perseverance,Frameworks,Handling Challenges,0.34,0.536,ACT Holistic Framework,"Environmental events or conditions (e.g., pressure from family, friends, expectations of peers, attitudinal, policy, financial, gender, cultural, physical, socioeconomic, access to resources, language) that impede progress toward one’s education or career goals",
,,,,1,child follows classroom rules and routines with increasing independence,Planning and Organization,Frameworks,"child manages actions, words, and behavior with increasing independence",0.34,0.815,Head Start,Child follows classroom rules and routines with increasing independence,
1,,,,,knowledgeable,Creativity,Frameworks,thinkers,0.339,0.49,IB Learner Profile,"We develop and use conceptual understanding, exploring knowledge across a range of disciplines. We engage with issues and ideas that have local and global significance.",
1,,,,,equality and social justice,Sexual/Gender Identity and Behavior,Frameworks,social justice,0.338,0.704,Developmental Assets (ages 12-18),Young person places high value on promoting equality and reducing hunger and poverty.,
,,,,1,Somatic Complaints,Sensory Reactivity,Claude Opus 4.5,Physical Complaints,0.336,0.719,Physical Well-Being,Reports of physical discomfort,"The frequency with which the student reports or displays physical complaints such as headaches, stomachaches, or general discomfort without clear medical cause."
,,,,1,"child has sense of belonging to family, community, and other groups",Attachment,Frameworks,child engages in and maintains positive interactions and relationships with other children,0.335,0.705,Head Start,"Child has sense of belonging to family, community, and other groups.",
1,,,,,Sense of Humor,Creativity,GPT 5.2 Thinking,finding humor,0.335,0.703,Disposition,using humor appropriately and enjoying playful interactions,"Sense of humor refers to a student’s ability to appreciate and use humor in ways that build connection and fit the situation. Healthy humor can support peer relationships and stress relief. Challenges may include misreading sarcasm, using jokes at inappropriate times, or relying on humor in ways that distract from learning or hurt others."
1,,,,,Material Management,Academic Motivation,Claude Opus 4.5,Material Management,0.333,0.994,Organization and Planning,Keeping track of belongings and supplies,"The student's ability to organize, maintain, and locate their materials, including school supplies, assignments, and personal items."
1,,,,,contribution,Integrity and Honesty,Frameworks,participation,0.333,0.588,The Five Cs Model of Positive Youth Development,"Contributions to self, family, community, and to the institutions of a civil society.",
1,,,,,supports,Academic Motivation,Frameworks,students demonstrate awareness of their external supports,0.331,0.571,ACT Holistic Framework,"Environmental events or conditions that facilitate efforts to develop and navigate one’s education or career (e.g., people who provide assistance based on their knowledge and skills, organizations providing assistance through programs and services, and people who provide reassurance and encouragement)",
1,,,,,congruence (fit),Creativity,Frameworks,Fairness,0.331,0.451,ACT Holistic Framework,"Degree to which an individuals’ personal characteristics are similar to or compatible with the corresponding characteristics of the chosen environment (e.g., college major program of study, occupation, job, organization)",
1,,,,,use and manage information,Reading,Frameworks,access and evaluate information,0.329,0.729,21st Century Learning,Use information accurately and creatively for the issue or problem at hand; Manage the flow of information from a wide variety of sources; Apply a fundamental understanding of the ethical/legal issues surrounding the access and use of information,
